"PK","SK","crlCode","crlValue","cscValue","drugName","drugNames","modelCategoryEndpoint","modelLevelEndpoint"
"LOOKUP#CrlMapping","CRL#Base cap difficult to remove","CRL-000092","Base cap difficult to remove","Base cap difficult to remove","","[{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Button reported up after activation","CRL-999999","null","Button reported up after activation","","","",""
"LOOKUP#CrlMapping","CRL#Clicks - Autoinjector/Syringe","CRL-000093","Clicks - Autoinjector/Syringe","Clicks - Autoinjector/Syringe","","[{""S"":""DEVICE TRULICITY""}]","",""
"LOOKUP#CrlMapping","CRL#Device activated before placement on skin","CRL-000094","Device activated before placement on skin","Device activated before placement on skin","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE TRULICITY""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Device activated before pressing button","CRL-000095","Device activated before pressing button","Device activated before pressing button","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Device activated when removed from carton","CRL-000096","Device activated when removed from carton","Device activated when removed from carton","","[{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Device activated with base cap attached","CRL-000097","Device activated with base cap attached","Device activated with base cap attached","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE TRULICITY""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Device defective","CRL-000098","Device defective","Device defective","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE TRULICITY""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Device in the locked position after activation","CRL-999999","null","Device in the locked position after activation","","","",""
"LOOKUP#CrlMapping","CRL#Device not working - Autoinjector/Syringe","CRL-000099","Device not working - Autoinjector/Syringe","Device not working - Autoinjector/Syringe","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE TRULICITY""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Dose confirmation","CRL-000100","Dose confirmation","Dose confirmation","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE TRULICITY""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Injection button difficult to press","CRL-000101","Injection button difficult to press","Injection button difficult to press","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Injection incomplete - Autoinjector/Syringe","CRL-000102","Injection incomplete - Autoinjector/Syringe","Injection incomplete - Autoinjector/Syringe","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE TRULICITY""},{""S"":""DEVICE ZEPBOUND""}]","",""
"LOOKUP#CrlMapping","CRL#Injection takes too long","CRL-000103","Injection takes too long","Injection takes too long","","[{""S"":""DEVICE TRULICITY""}]","",""
"LOOKUP#CrlMapping","CRL#Lack of Drug Effect","CRL- 999999","null","Lack of Drug Effect","","[{""S"":""DEVICE MOUNJARO""},{""S"":""DEVICE TRULICITY""}]","",""
